Name;Type(s);Height;Weight;Abilities;Sprite Link;Official Art Link;Total Base Stats;Habitat;Color;Is Legendary;Is Mythical;HP;Attack;Defense;Special Attack;Special Defense;Speed;No Damage From;Quarter Damage From;Half Damage From;Normal Damage From;Double Damage From;Quadruple Damage From
noctowl;normal,flying;1.6 m;40.8 kg;insomnia or keen-eye or tinted-lens;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/164.png;452;forest;brown;false;false;100;50;50;86;96;70;ghost,ground;;bug,grass;fighting;rock,electric,ice;
ledyba;bug,flying;1 m;10.8 kg;swarm or early-bird or rattled;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/165.png;265;forest;red;false;false;40;20;30;40;80;55;ground;fighting,grass;bug;;flying,fire,electric,ice;rock
ledian;bug,flying;1.4 m;35.6 kg;swarm or early-bird or iron-fist;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/166.png;390;forest;red;false;false;55;35;50;55;110;85;ground;fighting,grass;bug;;flying,fire,electric,ice;rock
spinarak;bug,poison;0.5 m;8.5 kg;swarm or insomnia or sniper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/167.png;250;forest;green;false;false;40;60;40;40;40;30;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
ariados;bug,poison;1.1 m;33.5 kg;swarm or insomnia or sniper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/168.png;400;forest;red;false;false;70;90;70;60;70;40;;fighting,grass;poison,bug,fairy;ground;flying,rock,fire,psychic;
crobat;poison,flying;1.8 m;75 kg;inner-focus or infiltrator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/169.png;535;cave;purple;false;false;85;90;80;70;80;130;ground;fighting,bug,grass;poison,fairy;;psychic,rock,electric,ice;
chinchou;water,electric;0.5 m;12 kg;volt-absorb or illuminate or water-absorb;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/170.png;330;sea;blue;false;false;75;38;38;56;56;67;;steel;fire,water,ice,flying;electric;grass,ground;
lanturn;water,electric;1.2 m;22.5 kg;volt-absorb or illuminate or water-absorb;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/171.png;460;sea;blue;false;false;125;58;58;76;76;67;;steel;fire,water,ice,flying;electric;grass,ground;
pichu;electric;0.3 m;2 kg;static or lightning-rod;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/172.png;205;forest;yellow;false;false;20;40;15;35;35;60;;;flying,steel,electric;;ground;
cleffa;fairy;0.3 m;3 kg;cute-charm or magic-guard or friend-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/173.png;218;mountain;pink;false;false;50;25;28;45;55;15;dragon;;fighting,bug,dark;;poison,steel;
igglybuff;normal,fairy;0.3 m;1 kg;cute-charm or competitive or friend-guard;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/174.png;210;grassland;pink;false;false;90;30;15;40;20;15;ghost,dragon;;bug,dark;fighting;poison,steel;
togepi;fairy;0.3 m;1.5 kg;hustle or serene-grace or super-luck;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/175.png;245;forest;white;false;false;35;20;65;40;65;20;dragon;;fighting,bug,dark;;poison,steel;
togetic;fairy,flying;0.6 m;3.2 kg;hustle or serene-grace or super-luck;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/176.png;405;forest;white;false;false;55;40;85;80;105;40;dragon,ground;fighting,bug;dark,grass;;poison,steel,rock,electric,ice;
natu;psychic,flying;0.2 m;2 kg;synchronize or early-bird or magic-bounce;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/177.png;320;forest;green;false;false;40;50;45;70;45;70;ground;fighting;psychic,grass;bug;ghost,dark,rock,electric,ice;
xatu;psychic,flying;1.5 m;15 kg;synchronize or early-bird or magic-bounce;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/178.png;470;forest;green;false;false;65;75;70;95;70;95;ground;fighting;psychic,grass;bug;ghost,dark,rock,electric,ice;
mareep;electric;0.6 m;7.8 kg;static or plus;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/179.png;280;grassland;white;false;false;55;40;40;65;45;35;;;flying,steel,electric;;ground;
flaaffy;electric;0.8 m;13.3 kg;static or plus;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/180.png;365;grassland;pink;false;false;70;55;55;80;60;45;;;flying,steel,electric;;ground;
ampharos;electric;1.4 m;61.5 kg;static or plus;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/181.png;510;grassland;yellow;false;false;90;75;85;115;90;55;;;flying,steel,electric;;ground;
bellossom;grass;0.4 m;5.8 kg;chlorophyll or healer;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/182.png;490;grassland;green;false;false;75;80;95;90;100;50;;;ground,water,grass,electric;;flying,poison,bug,fire,ice;
marill;water,fairy;0.4 m;8.5 kg;thick-fat or huge-power or sap-sipper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/183.png;250;waters-edge;blue;false;false;70;20;50;20;50;40;dragon;;fire,water,ice,fighting,bug,dark;steel;grass,electric,poison;
azumarill;water,fairy;0.8 m;28.5 kg;thick-fat or huge-power or sap-sipper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/184.png;420;waters-edge;blue;false;false;100;50;80;60;80;50;dragon;;fire,water,ice,fighting,bug,dark;steel;grass,electric,poison;
sudowoodo;rock;1.2 m;38 kg;sturdy or rock-head or rattled;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/185.png;410;forest;brown;false;false;70;100;115;30;65;30;;;normal,flying,poison,fire;;fighting,ground,steel,water,grass;
politoed;water;1.1 m;33.9 kg;water-absorb or damp or drizzle;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/186.png;500;waters-edge;green;false;false;90;75;75;90;100;70;;;steel,fire,water,ice;;grass,electric;
hoppip;grass,flying;0.4 m;0.5 kg;chlorophyll or leaf-guard or infiltrator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/187.png;250;grassland;pink;false;false;35;35;40;35;55;50;ground;grass;water,fighting;electric,bug;flying,poison,fire,rock;ice
skiploom;grass,flying;0.6 m;1 kg;chlorophyll or leaf-guard or infiltrator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/188.png;340;grassland;green;false;false;55;45;50;45;65;80;ground;grass;water,fighting;electric,bug;flying,poison,fire,rock;ice
jumpluff;grass,flying;0.8 m;3 kg;chlorophyll or leaf-guard or infiltrator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/189.png;460;grassland;blue;false;false;75;55;70;55;95;110;ground;grass;water,fighting;electric,bug;flying,poison,fire,rock;ice
aipom;normal;0.8 m;11.5 kg;run-away or pickup or skill-link;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/190.png;360;forest;purple;false;false;55;70;55;40;55;85;ghost;;;;fighting;
sunkern;grass;0.3 m;1.8 kg;chlorophyll or solar-power or early-bird;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/191.png;180;grassland;yellow;false;false;30;30;30;30;30;30;;;ground,water,grass,electric;;flying,poison,bug,fire,ice;
sunflora;grass;0.8 m;8.5 kg;chlorophyll or solar-power or early-bird;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/192.png;425;grassland;yellow;false;false;75;75;55;105;85;30;;;ground,water,grass,electric;;flying,poison,bug,fire,ice;
yanma;bug,flying;1.2 m;38 kg;speed-boost or compound-eyes or frisk;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/193.png;390;forest;red;false;false;65;65;45;75;45;95;ground;fighting,grass;bug;;flying,fire,electric,ice;rock
wooper;water,ground;0.4 m;8.5 kg;damp or water-absorb or unaware;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/194.png;210;waters-edge;blue;false;false;55;45;45;25;25;15;electric;;steel,fire,poison,rock;water,ice;;grass
quagsire;water,ground;1.4 m;75 kg;damp or water-absorb or unaware;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/195.png;430;waters-edge;blue;false;false;95;85;85;65;65;35;electric;;steel,fire,poison,rock;water,ice;;grass
espeon;psychic;0.9 m;26.5 kg;synchronize or magic-bounce;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/196.png;525;urban;purple;false;false;65;65;60;130;95;110;;;fighting,psychic;;bug,ghost,dark;
umbreon;dark;1 m;27 kg;synchronize or inner-focus;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/197.png;525;urban;black;false;false;95;65;110;60;130;65;psychic;;ghost,dark;;fighting,bug,fairy;
murkrow;dark,flying;0.5 m;2.1 kg;insomnia or super-luck or prankster;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/198.png;405;forest;black;false;false;60;85;42;85;42;91;psychic,ground;;ghost,dark,grass;fighting,bug;fairy,rock,electric,ice;
slowking;water,psychic;2 m;79.5 kg;oblivious or own-tempo or regenerator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/199.png;490;waters-edge;pink;false;false;95;75;80;100;110;30;;;steel,fire,water,ice,fighting,psychic;;grass,electric,bug,ghost,dark;
misdreavus;ghost;0.7 m;1 kg;levitate;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/200.png;435;cave;gray;false;false;60;60;60;85;85;85;normal,fighting;;poison,bug;;ghost,dark;
unown;psychic;0.5 m;5 kg;levitate;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/201.png;336;rare;black;false;false;48;72;48;72;48;48;;;fighting,psychic;;bug,ghost,dark;
wobbuffet;psychic;1.3 m;28.5 kg;shadow-tag or telepathy;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/202.png;405;cave;blue;false;false;190;33;58;33;58;33;;;fighting,psychic;;bug,ghost,dark;
girafarig;normal,psychic;1.5 m;41.5 kg;inner-focus or early-bird or sap-sipper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/203.png;455;grassland;yellow;false;false;70;80;65;90;65;85;;;psychic;fighting;ghost,bug,dark;
pineco;bug;0.6 m;7.2 kg;sturdy or overcoat;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/204.png;290;forest;gray;false;false;50;65;90;35;35;15;;;fighting,ground,grass;;flying,rock,fire;
forretress;bug,steel;1.2 m;125.8 kg;sturdy or overcoat;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/205.png;465;forest;purple;false;false;75;90;140;60;60;40;poison;grass;normal,bug,steel,psychic,ice,dragon,fairy;fighting,ground,flying,rock;;fire
dunsparce;normal;1.5 m;14 kg;serene-grace or run-away or rattled;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/206.png;415;cave;yellow;false;false;100;70;70;65;65;45;ghost;;;;fighting;
gligar;ground,flying;1.1 m;64.8 kg;hyper-cutter or sand-veil or immunity;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/207.png;430;mountain;purple;false;false;65;75;105;35;65;85;ground;;poison,fighting,bug;rock,grass;electric,water;ice
steelix;steel,ground;9.2 m;400 kg;rock-head or sturdy or sheer-force;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/208.png;510;cave;gray;false;false;75;85;200;55;65;30;electric;rock;poison,normal,flying,bug,steel,psychic,dragon,fairy;grass,ice;fighting,ground,fire,water;
snubbull;fairy;0.6 m;7.8 kg;intimidate or run-away or rattled;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/209.png;300;urban;pink;false;false;60;80;50;40;40;30;dragon;;fighting,bug,dark;;poison,steel;
granbull;fairy;1.4 m;48.7 kg;intimidate or quick-feet or rattled;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/210.png;450;urban;purple;false;false;90;120;75;60;60;45;dragon;;fighting,bug,dark;;poison,steel;
qwilfish;water,poison;0.5 m;3.9 kg;poison-point or swift-swim or intimidate;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/211.png;440;sea;gray;false;false;65;95;85;55;55;85;;;steel,fire,water,ice,fighting,poison,bug,fairy;grass;electric,ground,psychic;
scizor;bug,steel;1.8 m;118 kg;swarm or technician or light-metal;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/212.png;500;grassland;red;false;false;70;130;100;55;80;65;poison;grass;normal,bug,steel,psychic,ice,dragon,fairy;fighting,ground,flying,rock;;fire
shuckle;bug,rock;0.6 m;20.5 kg;sturdy or gluttony or contrary;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/213.png;505;mountain;yellow;false;false;20;10;230;10;230;5;;;normal,poison;fighting,ground,grass,flying,fire;rock,steel,water;
heracross;bug,fighting;1.5 m;54 kg;swarm or guts or moxie;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/214.png;500;forest;blue;false;false;80;125;75;40;95;85;;;fighting,ground,grass,bug,dark;rock;fire,psychic,fairy;flying
sneasel;dark,ice;0.9 m;28 kg;inner-focus or keen-eye or pickpocket;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/215.png;430;forest;black;false;false;55;95;55;35;75;115;psychic;;ghost,dark,ice;;bug,fairy,rock,steel,fire;fighting
teddiursa;normal;0.6 m;8.8 kg;pickup or quick-feet or honey-gather;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/216.png;330;mountain;brown;false;false;60;80;50;50;50;40;ghost;;;;fighting;
ursaring;normal;1.8 m;125.8 kg;guts or quick-feet or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/217.png;500;mountain;brown;false;false;90;130;75;75;75;55;ghost;;;;fighting;
slugma;fire;0.7 m;35 kg;magma-armor or flame-body or weak-armor;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/218.png;250;mountain;red;false;false;40;40;40;70;40;20;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
magcargo;fire,rock;0.8 m;55 kg;magma-armor or flame-body or weak-armor;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/219.png;430;mountain;red;false;false;60;50;120;90;80;30;;fire;bug,ice,fairy,normal,flying,poison;steel,grass;rock,fighting;ground,water
swinub;ice,ground;0.4 m;6.5 kg;oblivious or snow-cloak or thick-fat;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/220.png;250;cave;brown;false;false;50;50;40;30;30;50;electric;;poison;ice,rock;fighting,steel,fire,water,grass;
piloswine;ice,ground;1.1 m;55.8 kg;oblivious or snow-cloak or thick-fat;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/221.png;450;cave;brown;false;false;100;100;80;60;60;50;electric;;poison;ice,rock;fighting,steel,fire,water,grass;
corsola;water,rock;0.6 m;5 kg;hustle or natural-cure or regenerator;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/222.png;410;sea;pink;false;false;65;55;95;65;95;35;;fire;ice,normal,flying,poison;steel,water;electric,fighting,ground;grass
remoraid;water;0.6 m;12 kg;hustle or sniper or moody;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/223.png;300;sea;gray;false;false;35;65;35;65;35;65;;;steel,fire,water,ice;;grass,electric;
octillery;water;0.9 m;28.5 kg;suction-cups or sniper or moody;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/224.png;480;sea;red;false;false;75;105;75;105;75;45;;;steel,fire,water,ice;;grass,electric;
delibird;ice,flying;0.9 m;16 kg;vital-spirit or hustle or insomnia;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/225.png;330;mountain;red;false;false;45;55;45;65;45;75;ground;;bug,grass;ice,fighting;steel,fire,electric;rock
mantine;water,flying;2.1 m;220 kg;swift-swim or water-absorb or water-veil;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/226.png;485;sea;purple;false;false;85;40;70;80;140;70;ground;;steel,fire,water,fighting,bug;ice,grass;rock;electric
skarmory;steel,flying;1.7 m;50.5 kg;keen-eye or sturdy or weak-armor;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/227.png;465;rough-terrain;gray;false;false;65;80;140;40;70;70;poison,ground;bug,grass;normal,flying,steel,psychic,dragon,fairy;rock,ice,fighting;fire,electric;
houndour;dark,fire;0.6 m;10.8 kg;early-bird or flash-fire or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/228.png;330;rough-terrain;black;false;false;45;60;30;80;50;65;psychic;;ghost,dark,steel,fire,grass,ice;bug,fairy;fighting,ground,rock,water;
houndoom;dark,fire;1.4 m;35 kg;early-bird or flash-fire or unnerve;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/229.png;500;rough-terrain;black;false;false;75;90;50;110;80;95;psychic;;ghost,dark,steel,fire,grass,ice;bug,fairy;fighting,ground,rock,water;
kingdra;water,dragon;1.8 m;152 kg;swift-swim or sniper or damp;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/230.png;540;sea;blue;false;false;75;95;95;95;95;85;;fire,water;steel;ice,grass,electric;dragon,fairy;
phanpy;ground;0.5 m;33.5 kg;pickup or sand-veil;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/231.png;330;rough-terrain;blue;false;false;90;60;60;40;40;40;electric;;poison,rock;;water,grass,ice;
donphan;ground;1.1 m;120 kg;sturdy or sand-veil;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/232.png;500;rough-terrain;gray;false;false;90;120;120;60;60;50;electric;;poison,rock;;water,grass,ice;
porygon2;normal;0.6 m;32.5 kg;trace or download or analytic;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/233.png;515;urban;red;false;false;85;80;90;105;95;60;ghost;;;;fighting;
stantler;normal;1.4 m;71.2 kg;intimidate or frisk or sap-sipper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/234.png;465;forest;brown;false;false;73;95;62;85;65;85;ghost;;;;fighting;
smeargle;normal;1.2 m;58 kg;own-tempo or technician or moody;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/235.png;250;urban;white;false;false;55;20;35;20;45;75;ghost;;;;fighting;
tyrogue;fighting;0.7 m;21 kg;guts or steadfast or vital-spirit;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/236.png;210;urban;purple;false;false;35;35;35;35;35;35;;;rock,bug,dark;;flying,psychic,fairy;
hitmontop;fighting;1.4 m;48 kg;intimidate or technician or steadfast;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/237.png;455;urban;brown;false;false;50;95;95;35;110;70;;;rock,bug,dark;;flying,psychic,fairy;
smoochum;ice,psychic;0.4 m;6 kg;oblivious or forewarn or hydration;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/238.png;305;urban;pink;false;false;45;30;15;85;65;65;;;ice,psychic;fighting;rock,steel,fire,bug,ghost,dark;
elekid;electric;0.6 m;23.5 kg;static or vital-spirit;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/239.png;360;grassland;yellow;false;false;45;63;37;65;55;95;;;flying,steel,electric;;ground;
magby;fire;0.7 m;21.4 kg;flame-body or vital-spirit;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/240.png;365;mountain;red;false;false;45;75;37;70;55;83;;;bug,steel,fire,grass,ice,fairy;;ground,rock,water;
miltank;normal;1.2 m;75.5 kg;thick-fat or scrappy or sap-sipper;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png;https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/241.png;490;grassland;pink;false;false;95;80;105;40;70;100;ghost;;;;fighting;
